exp_v13 FI

============================================================
fijo | cat4=8.8% occ=0.7%
============================================================
                      gain  splits  gain_pct
c3_tn_11            1234.9     102       0.1
c4_pend_6           1228.1      83       0.1
c3_r_yoy_tri        1216.1      97       0.1
c3_pend_6           1214.0      65       0.1
sh_prom12           1196.4      99       0.1
c3_s6               1185.4      63       0.1
c4_r_0_1            1185.2      95       0.1
c3_tn_5             1184.7      83       0.1
c4_diff_0_1         1179.0      90       0.1
c3_dprom_24         1179.0      94       0.1
r_tri               1166.2      83       0.1
c3_cv               1165.7      70       0.1
c3_diff_0_1         1138.2      87       0.1
c4_s6               1129.4      81       0.1
c4_tn_0             1111.1      84       0.1
c3_roll_max_12      1095.4      79       0.1
c4_roll_max_12      1054.2      88       0.1
c3_dmax_12          1015.4      75       0.1
c4_s2                979.0      78       0.1
c4_pend_12           973.0      71       0.1
acel_ma3             971.1      81       0.1
c4_tn_1              964.8      79       0.1
c4_roll_med_6        919.3      78       0.1
dmin_6               915.9      74       0.1
c3_roll_med_6        910.8      67       0.1
c3_roll_med_3        894.7      73       0.1
c3_log_prom          893.0      66       0.1
c3_tn_0              892.6      71       0.1
c3_tn_1              835.4      70       0.1
c4_acel_ma3          801.1      56       0.1
c3_s2                668.6      60       0.1
c3_s3                664.7      55       0.1
edad_serie           633.9      40       0.1
c3_r_tri             586.2      49       0.1
c3_acel_ma3          545.3      40       0.1
cat1                 124.9       7       0.0
anio_corte            68.1       2       0.0
